Date ,Rain,Time ,Rain Rating (1-5)
10/11/2021,No ,,
11/11/2021,Yes,1700-1720,0.5
12/11/2021,No ,,
13/11/2021,Yes,1520-1540,1
14/11/2021,No ,,
15/11/2021,No ,,
16/11/2021,No ,,
17/11/2021,Yes,1755-1800,0.5
18/11/2021,,,
19/11/2021,,,
20/11/2021,,,
21/11/2021,,,
22/11/2021,,,
23/11/2021,,,
24/11/2021,,,
25/11/2021,,,
26/11/2021,,,
27/11/2021,,,
28/11/2021,,,
29/11/2021,,,
30/11/2021,,,
01/12/2021,,,
02/12/2021,,,
03/12/2021,yes,1630-1715,3
04/12/2021,,,
05/12/2021,,,
06/12/2021,,,
07/12/2021,Yes,2235 - 2245,0.5
08/12/2021,,,
09/12/2021,,,
10/12/2021,,,
11/12/2021,,,
12/12/2021,,,
13/12/2021,,,
14/12/2021,,,
15/12/2021,,,
16/12/2021,,,
17/12/2021,,,
18/12/2021,,,
19/12/2021,,,
20/12/2021,,,
21/12/2021,,,
22/12/2021,,,
23/12/2021,,,
24/12/2021,,,
25/12/2021,,,
26/12/2021,Yes,1730 - 1820,4
27/12/2021,,,
28/12/2021,,,
29/12/2021,Yes,2140-2200,2
30/12/2021,Yes,1730-1800 2200-2230,0.75 1
31/12/2021,Yes,2130-2245,0.5
01/01/2022,,,
02/01/2022,,,
03/01/2022,,,
04/01/2022,,,
